القطاع,الرمز,الاسم بالعربية,الاسم بالإنجليزية
الطاقة,2030,المصافي,SARCO
الطاقة,2222,أرامكو السعودية,Saudi Aramco
الطاقة,2380,بترو رابغ,Petro Rabigh
الطاقة,2381,الحفر العربية,Arabian Drilling
الطاقة,2382,أديس,ADES
الطاقة,4050,ساسكو,SASCO
الطاقة,4200,الدريس,Aldrees
المواد الأساسية,1201,تكوين,Takween
المواد الأساسية,1202,مبكو,MEPCO
المواد الأساسية,1210,بي سي آي,BCI
المواد الأساسية,1211,معادن,Maaden
المواد الأساسية,1301,أسلاك,Aslak
المواد الأساسية,1304,اليمامة للحديد,Alyamamah Steel
المواد الأساسية,1320,أنابيب السعودية,SSP
المواد الأساسية,1322,أماك,AMAK
المواد الأساسية,1324,صالح الراشد,صالح الراشد
المواد الأساسية,2001,كيمانول,Chemanol
المواد الأساسية,2010,سابك,SABIC
المواد الأساسية,2020,سابك للمغذيات الزراعية,SABIC Agri-Nutrients
المواد الأساسية,2060,التصنيع,Tasnee
المواد الأساسية,2090,جبسكو,NGC
المواد الأساسية,2150,زجاج,Zoujaj
المواد الأساسية,2170,اللجين,Alujain
المواد الأساسية,2180,فيبكو,FIPCO
المواد الأساسية,2200,أنابيب,APC
المواد الأساسية,2210,نماء للكيماويات,Nama Chemicals
المواد الأساسية,2220,معدنية,Maadaniyah
المواد الأساسية,2223,لوبريف,Luberef
المواد الأساسية,2230,الكيميائية,الكيميائية
المواد الأساسية,2240,صناعات,Zamil Industrial
المواد الأساسية,2250,المجموعة السعودية,SIIG
المواد الأساسية,2290,ينساب,Yansab
المواد الأساسية,2300,صناعة الورق,SPM
المواد الأساسية,2310,سبكيم العالمية,Sipchem
المواد الأساسية,2330,المتقدمة,Advanced
المواد الأساسية,2350,كيان السعودية,Saudi Kayan
المواد الأساسية,2360,الفخارية,SVCP
المواد الأساسية,3002,أسمنت نجران,Najran Cement
المواد الأساسية,3003,أسمنت المدينة,City Cement
المواد الأساسية,3004,أسمنت الشمالية,Northern Cement
المواد الأساسية,3005,أسمنت ام القرى,UACC
المواد الأساسية,3007,الواحة,الواحة
المواد الأساسية,3008,الكثيري,الكثيري
المواد الأساسية,3010,أسمنت العربية,Arabian Cement
المواد الأساسية,3020,أسمنت اليمامة,Yamama Cement
المواد الأساسية,3030,أسمنت السعودية,Saudi Cement
المواد الأساسية,3040,أسمنت القصيم,Qassim Cement
المواد الأساسية,3050,أسمنت الجنوب,Southern Cement
المواد الأساسية,3060,أسمنت ينبع,Yanbu Cement
المواد الأساسية,3080,أسمنت الشرقية,Eastern Cement
المواد الأساسية,3090,أسمنت تبوك,Tabuk Cement
المواد الأساسية,3091,أسمنت الجوف,Al Jouf Cement
المواد الأساسية,3092,أسمنت الرياض,Riyadh Cement
المواد الأساسية,4143,تالكو,تالكو
السلع الرأسمالية,1212,أسترا الصناعية,Astra Industrial
السلع الرأسمالية,1214,شاكر,Shaker
السلع الرأسمالية,1302,بوان,Bawan
السلع الرأسمالية,1303,الصناعات الكهربائية,EIC
السلع الرأسمالية,1321,أنابيب الشرق,East Pipes
السلع الرأسمالية,1323,يو سي آي سي,يو سي آي سي
السلع الرأسمالية,2040,الخزف السعودي,Saudi Ceramics
السلع الرأسمالية,2110,الكابلات السعودية,Saudi Cable
السلع الرأسمالية,2120,متطورة,SAIC
السلع الرأسمالية,2160,أميانتيت,Amiantit
السلع الرأسمالية,2288,نفوذ,نفوذ
السلع الرأسمالية,2320,البابطين,Al-Babtain
السلع الرأسمالية,2370,مسك,MESC
السلع الرأسمالية,4110,باتك,BATIC
السلع الرأسمالية,4140,صادرات,SEC
السلع الرأسمالية,4141,العمران,العمران
السلع الرأسمالية,4142,كابلات الرياض,Raydan
السلع الرأسمالية,4144,رؤوم,رؤوم
السلع الرأسمالية,4145,أو جي سي,أو جي سي
السلع الرأسمالية,4146,جاز,جاز
السلع الرأسمالية,4147,سي جي إس,سي جي إس
السلع الرأسمالية,4148,الوسائل الصناعية,الوسائل الصناعية
السلع الرأسمالية,4270,طباعة وتغليف,SPPC
الخدمات التجارية والمهنية,1831,مهارة,مهارة
الخدمات التجارية والمهنية,1832,صدر,صدر
الخدمات التجارية والمهنية,1833,الموارد,الموارد
الخدمات التجارية والمهنية,1834,سماسكو,سماسكو
الخدمات التجارية والمهنية,1835,تمكين,تمكين
الخدمات التجارية والمهنية,2190,سيسكو القابضة,SISCO Holding
الخدمات التجارية والمهنية,4083,تسهيل,تسهيل
الخدمات التجارية والمهنية,6004,كاتريون,Catering
النقل,4030,البحري,Bahri
النقل,4031,الخدمات الأرضية,SGS
النقل,4040,سابتكو,SAPTCO
النقل,4260,بدجت السعودية,Budget Saudi
النقل,4261,ذيب,Theeb Rent a Car
النقل,4262,لومي,Lumi Rental
النقل,4263,سال,SAL Logistics
النقل,4264,طيران ناس,طيران ناس
النقل,4265,شري,شري
السلع طويلة الأجل,1213,نسيج,نسيج
السلع طويلة الأجل,2130,صدق,صدق
السلع طويلة الأجل,2340,ارتيكس,Alabdullatif
الخدمات الاستهلاكية,1810,سيرا,Seera Holding
الخدمات الاستهلاكية,1820,بان,Alhokair Group
الخدمات الاستهلاكية,1830,لجام للرياضة,Leejam Sports
الخدمات الاستهلاكية,4170,شمس,Shams
الخدمات الاستهلاكية,4290,الخليج للتدريب,Alkhaleej Training
الخدمات الاستهلاكية,4291,الوطنية للتعليم,NCLE
الخدمات الاستهلاكية,4292,عطاء,Alaram
الخدمات الاستهلاكية,6019,المسار الشامل,المسار الشامل
إنتاج الأغذية,2050,مجموعة صافولا,Savola
إنتاج الأغذية,2100,وفرة,Wafrah
إنتاج الأغذية,2270,سدافكو,SADAFCO
إنتاج الأغذية,2280,المراعي,Almarai
إنتاج الأغذية,2281,تنمية,Tanmiah
إنتاج الأغذية,2282,نقي,Naqi Water
إنتاج الأغذية,2283,المطاحن الأولى,First Mills
إنتاج الأغذية,2284,المطاحن الحديثة,MODERN MILLS
إنتاج الأغذية,2285,المطاحن العربية,Arabian Mills
إنتاج الأغذية,2286,المطاحن الرابعة,Fourth Milling
إنتاج الأغذية,2287,إنتاج,إنتاج
إنتاج الأغذية,4061,أنعام القابضة,أنعام القابضة
إنتاج الأغذية,6001,حلواني إخوان,Halwani Bros
إنتاج الأغذية,6002,هرفي للأغذية,Herfy Foods
إنتاج الأغذية,6010,نادك,NADEC
إنتاج الأغذية,6012,ريدان,Raydan Food
إنتاج الأغذية,6013,التطويرية الغذائية,DWF
إنتاج الأغذية,6014,الآمار,Alamar Foods
إنتاج الأغذية,6015,أمريكانا,Americana
إنتاج الأغذية,6016,برغرايززر,برغرايززر
إنتاج الأغذية,6020,جاكو,GACO
إنتاج الأغذية,6040,تبوك الزراعية,TADCO
إنتاج الأغذية,6050,الأسماك,SFICO
إنتاج الأغذية,6060,الشرقية للتنمية,الشرقية للتنمية
إنتاج الأغذية,6070,الجوف,Aljouf Agriculture
إنتاج الأغذية,6090,جازادكو,JADCO
الرعاية الصحية,2070,الدوائية,SPIMACO
الرعاية الصحية,4002,المواساة,Mouwasat
الرعاية الصحية,4004,دله الصحية,Dallah Health
الرعاية الصحية,4005,رعاية,Care
الرعاية الصحية,4007,الحمادي,Al Hammadi
الرعاية الصحية,4009,السعودي الألماني الصحية,Saudi German Health
الرعاية الصحية,4013,سليمان الحبيب,Dr. Sulaiman Al Habib
الرعاية الصحية,4014,دار المعدات,Dan Company
الرعاية الصحية,4016,أفالون فارما,Avalon Pharma
الرعاية الصحية,4017,فقيه الطبية,Fakeeh Care
الرعاية الصحية,4018,الموسى,الموسى
الرعاية الصحية,4019,اس ام سي للرعاية الصحية,اس ام سي للرعاية الصحية
الرعاية الصحية,4021,المركز الكندي الطبي,المركز الكندي الطبي
الأدوية,4015,جمجوم فارما,Jamjoom Pharma
الأدوية,4163, الدواء,Al-Dawaa
الأدوية,4164,النهدي,Nahdi Medical
البنوك,1010,الرياض,Riyad Bank
البنوك,1020,الجزيرة,Bank AlJazira
البنوك,1030,الإستثمار,SAIB
البنوك,1050,بي اس اف,Banque Saudi Fransi
البنوك,1060,الأول,SAB
البنوك,1080,العربي,Arab National Bank
البنوك,1120,الراجحي,Al Rajhi Bank
البنوك,1140,البلاد,Bank Albilad
البنوك,1150,الإنماء,Alinma Bank
البنوك,1180,الأهلي,Saudi National Bank
التأمين,8010,التعاونية,Tawuniya
التأمين,8012,جزيرة تكافل,Jazira Takaful
التأمين,8020,ملاذ للتأمين,Malath Insurance
التأمين,8030,ميدغلف للتأمين,Medgulf
التأمين,8040,متكاملة,Allianz SF
التأمين,8050,سلامة,Salama
التأمين,8060,ولاء,Walaa
التأمين,8070,الدرع العربي,Arabian Shield
التأمين,8100,سايكو,SAICO
التأمين,8120,إتحاد الخليج الأهلية,Gulf Union Alahlia
التأمين,8150,أسيج,ACIG
التأمين,8160,التأمين العربية,AICC
التأمين,8170,الاتحاد,Al-Etihad
التأمين,8180,الصقر للتأمين,Al Sagr Insurance
التأمين,8190,المتحدة للتأمين,UCA
التأمين,8200,الإعادة السعودية,Saudi Re
التأمين,8210,بوبا العربية,Bupa Arabia
التأمين,8230,تكافل الراجحي,Al Rajhi Takaful
التأمين,8240,تْشب,Chubb Arabia
التأمين,8250,جي آي جي,GIG
التأمين,8260,الخليجية العامة,Gulf General
التأمين,8280,ليفا,Liva
التأمين,8300,الوطنية,Wataniya
التأمين,8310,أمانة للتأمين,Amana Insurance
التأمين,8311,عناية,Enaya
التطبيقات وخدمات التقنية,6017,جاهز,جاهز
التطبيقات وخدمات التقنية,7200,ام آي اس,ام آي اس
التطبيقات وخدمات التقنية,7201,بحر العرب,بحر العرب
التطبيقات وخدمات التقنية,7202,سلوشنز,solutions by stc
التطبيقات وخدمات التقنية,7203,علم,Elm
التطبيقات وخدمات التقنية,7204,توبي,2P
التطبيقات وخدمات التقنية,7205,دي بي اس,دي بي اس
التطبيقات وخدمات التقنية,7211,عزم,عزم
التطبيقات وخدمات التقنية,8313,رسن,رسن
الاتصالات,7010,اس تي سي,stc
الاتصالات,7020,إتحاد إتصالات,Mobily
الاتصالات,7030,زين السعودية,Zain KSA
الاتصالات,7040,قو للإتصالات,قو للإتصالات
المرافق العامة,2080,الغاز القابضة,GASCO
المرافق العامة,2081,الخريف,Alkhorayef Water
المرافق العامة,2082,أكوا,ACWA Power
المرافق العامة,2083,مرافق,Marafiq
المرافق العامة,2084,مياهنا,مياهنا
المرافق العامة,5110,السعودية للطاقة,Saudi Electricity
الصناديق العقارية المتداولة,4330,الرياض ريت,Riyad REIT
